1731001628.137732405, 698699
1731001628.149785667, 698698
1731001628.151276094, 698699
1731001628.160455990, 698696
1731001628.172425321, 698692
1731001628.178812934, 698697
1731001628.180423783, 698699
1731001628.188938447, 698699
1731001629.244539676, 698699
1731001629.246251895, 698699
1731001629.249968181, 698699
1731001648.513377058, 698699
1731001649.520433993, 698696
1731001649.521723144, 698700
1731001685.698609818, 698700
1731001685.710002914, 698700
1731001685.713223687, 698700
1731001685.718679455, 698700
1731001729.522915518, 698700
1731001730.536028300, 698699
1731001730.538918238, 698700
1731001730.553082638, 698700
1731001730.564426948, 698700
1731001730.565769439, 698700
1731001730.569099719, 698700
1731001730.576448658, 698697
1731001730.584437651, 698696
1731001730.586310366, 698700
1731001730.652801167, 698700
1731001730.654255963, 698700
1731001763.797269813, 698700
1731001824.354138336, 698701
1731001824.355802657, 698701
1731001882.901359627, 698701
1731001883.901359389, 698701
1731001883.920455831, 698698
1731001883.928429508, 698695
1731001883.932696360, 698701
1731001883.943759825, 698698
1731001883.945277889, 698701
1731001883.950149553, 698701
1731001883.957058010, 698700
1731001883.958677909, 698701
1731001883.971200179, 698701
